<?xml version="1.0" encoding="UTF-8"?>Title| MMSID| ISSN | ISSN 
The Journal of JASTRO : the official journal of the Japanese Society for Therapeutic Radiology and Oncology = Nihon HÅ&#x8d;shasen ShuyÅ&#x8d; Gakkai shi.|99157509680001452|10409564|10409564|
The Journal of cancer research.|99161787686801452|00997013|00997013|
The Journal of chiropractic education [electronic resource].|99157357840001452|10425055|10425055|
The Journal of clinical and aesthetic dermatology.|99157879380001452|19412789|19412789|
The Journal of communicable diseases.|99157586040001452|00195138|00195138|
The Journal of community and supportive oncology.|99161861246201452|23307749|23307749|
The Journal of comparative neurology.|99158525610001452|00219967|00219967|
The Journal of continuing education in nursing.|99158191550001452|00220124|00220124|
The Journal of dairy research [electronic resource].|99158481540001452|00220299|00220299|
The Journal of dermatology [electronic resource].|99158525970001452|03852407|03852407|
The Journal of emergency medicine on-line.|99158433390001452|07364679|07364679|
The Journal of extra-corporeal technology.|99161878638201452|00221058|00221058|
The Journal of forensic odonto-stomatology.|99157501200001452|0258414X|0258414X|
The Journal of general and applied microbiology.|99157664250001452|00221260|00221260|
The Journal of general psychology.|99157825680001452|00221309|00221309|
The Journal of general virology.|99157514770001452|00221317|00221317|
The Journal of hand surgery, European volume.|99158502620001452|17531934|17531934|
The Journal of hand surgery.|99158433710001452|03635023|03635023|
The Journal of international medical research.|99157343110001452|03000605|03000605|
The Journal of law, medicine &amp; ethics: a journal of the American Society of Law, Medicine &amp; Ethics.|99157825300001452|10731105|10731105|
The Journal of manual &amp; manipulative therapy.|99157827070001452|10669817|10669817|
The Journal of microwave power and electromagnetic energy : a publication of the International Microwave Power Institute.|99161957106401452|08327823|08327823|
The Journal of mind and behavior.|99161969680701452|02710137|02710137|
The Journal of nursing education.|99158192270001452|01484834|01484834|
The Journal of nutrition.|99157515460001452|00223166|00223166|
The Journal of nutritional biochemistry [electronic resource].|99161967631001452|09552863|09552863|
The Journal of obstetrics and gynaecology research [electronic resource].|99157826310001452|13418076|13418076|
The Journal of orthopaedic and sports physical therapy.|99159281310001452|01906011|01906011|
The Journal of pathology.|99158525440001452|00223417|00223417|
The Journal of psychohistory.|99157859940001452|01453378|01453378|
The Journal of psychology.|99157826830001452|00223980|00223980|
The Journal of reproduction and development.|99157201760001452|09168818|09168818|
The Journal of rheumatology.|99158457040001452|0315162X|0315162X|
The Journal of school health.|99157826550001452|00224391|00224391|
The Journal of small animal practice.|99158526460001452|00224510|00224510|
The Journal of social psychology.|99157827100001452|00224545|00224545|
The Journal of the Acoustical Society of America [electronic resource].|99157751020001452|00014966|00014966|
The Journal of the American Dental Association [electronic resource] : JADA.|99158457210001452|00028177|00028177|
The Journal of the Association of Physicians of India.|99161958487101452|00045772|00045772|
The Journal of the Irish Dental Association. [electronic resource].|99157608190001452|00211133|00211133|
The Journal of the Royal College of Physicians of Edinburgh.|99157357130001452|14782715|14782715|
The Journal of toxicological sciences.|99157242690001452|03881350|03881350|
The Kaohsiung journal of medical sciences|99158436560001452|1607551X|1607551X|
The Korean journal of internal medicine.|99157594970001452|12263303|12263303|
The Korean journal of pain.|99157672380001452|20059159|20059159|
The Korean journal of parasitology.|99157348420001452|00234001|00234001|
The Korean journal of physiology &amp; pharmacology : official journal of the Korean Physiological Society and the Korean Society of Pharmacology.|99157671140001452|12264512|12264512|
The Lancet infectious diseases [electronic resource].|99158435360001452|14733099|14733099|
The Lancet neurology [electronic resource].|99158432190001452|14744422|14744422|
The Lancet oncology [electronic resource].|99158436630001452|14702045|14702045|
The Lancet. Global health.|99159524690001452|2214109X|2214109X|
The Lancet. Haematology.|99161859575101452|23523026|23523026|
The Lancet. Psychiatry.|99161859574901452|22150366|22150366|
The Lancet. Respiratory medicine.|99158435020001452|22132600|22132600|
The Laryngoscope.|99158505870001452|0023852X|0023852X|
The Libyan journal of medicine.|99157357560001452|19932820|19932820|
The Malaysian journal of medical sciences : MJMS.|99157212440001452|1394195X|1394195X|
The Medical journal of Malaysia.|99161958486801452|03005283|03005283|
The Mendel newsletter : archival resources for the history of genetics &amp; allied sciences / issued by the Library of the American Philosophical Society.|99157445130001452|00259241|00259241|
The Milbank quarterly.|99157822130001452|0887378X|0887378X|
The Mississippi RN.|99158193630001452|00266388|00266388|
The Nephron journals|99161932560301452|16608151|16608151|
The Netherlands journal of medicine [electronic resource].|99157447870001452|03002977|03002977|
The Neurodiagnostic journal.|99157873430001452|21646821|21646821|
The Neurohospitalist.|99158518840001452|19418752|19418752|
The Neurohospitalist.|99148284960001452|19418752|19418752|
The New England journal of medicine.|99158464430001452|00284793|00284793|
The New Zealand medical journal [electronic resource].|99157576210001452|00288446|00288446|
The New bioethics : a multidisciplinary journal of biotechnology and the body.|99161600800001452|20502877|20502877|
The Nurse practitioner : NP.|99157821590001452|03611817|03611817|
The Ochsner journal.|99157499430001452|15245012|15245012|
The Oklahoma nurse.|99157469820001452|00301787|00301787|
The Onderstepoort journal of veterinary research.|99157384290001452|00302465|00302465|
The Open bone journal [electronic resource].|99157216860001452|18765254|18765254|
The Pan African medical journal [electronic resource].|99157380810001452|19378688|19378688|
The Pediatric infectious disease journal [electronic resource].|99158506880001452|08913668|08913668|
The Pennsylvania nurse.|99158193270001452|00314617|00314617|
The Permanente journal.|99157347800001452|15525767|15525767|
The Plant journal.|99157780050001452|09607412|09607412|
The Practitioner.|99159094130001452|00326518|00326518|
The Psychoanalytic quarterly.|99160938320001452|00332828|00332828|
The Queensland nurse.|99158210800001452|0815936X|0815936X|
The Rand journal of economics.|99157896770001452|07416261|07416261|
The Saudi dental journal [electronic resource].|99157356330001452|10139052|10139052|
The Scandinavian psychoanalytic review.|99157833750001452|01062301|01062301|
The Scientific World Journal|99161771330901452|23566140|23566140|
The South African journal of child health.|99157386180001452|19943032|19943032|
The South African journal of clinical nutrition : SAJCN : the official journal of the South African Society of Parenteral and Enteral Nutrition and the Association for Dietetics in South Africa.|99157388330001452|16070658|16070658|
The South African journal of communication disorders. Die Suid-Afrikaanse tydskrif vir kommunikasieafwykings.|99161933725401452|03798046|03798046|
The South African journal of obstetrics and gynaecology : SAJOG : the journal of the South African Society of Obstetricians and Gynaecologists.|99157875470001452|00382329|00382329|
The South African journal of psychiatry : SAJP : the journal of the Society of Psychiatrists of South Africa.|99157623200001452|16089685|16089685|
The South Carolina nurse : the official publication of the South Carolina Nurses Association.|99157638260001452|10467394|10467394|
The Southeast Asian journal of tropical medicine and public health.|99157574670001452|01251562|01251562|
The Southern African journal of critical care : the official journal of the Critical Care Society / CCS = Die Suider-Afrikaanse tydskrif vir kritieke sorg : die amptelike tydskrif vie dir Kritieke Sorg Vereniging / CCS.|99157876130001452|15628264|15628264|
The Southern African journal of epidemiology &amp; infection|99157628110001452|10158782|10158782|
The Spanish journal of psychology.|99157330660001452|11387416|11387416|
The Tohoku journal of experimental medicine.|99157346510001452|00408727|00408727|
The Tokai journal of experimental and clinical medicine.|99157242210001452|03850005|03850005|
The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology.|99157495970001452|13004948|13004948|
The Turkish journal of pediatrics.|99157615920001452|00414301|00414301|
The Veterinary record.|99158464550001452|00424900|00424900|
The West Indian medical journal.|99157377870001452|00433144|00433144|
The World Allergy Organization journal [electronic resource].|99157417010001452|19394551|19394551|
The Yale journal of biology and medicine.|99157395160001452|00440086|00440086|
The aging male [electronic resource].|99157807150001452|13685538|13685538|
The analyst online / RSC.|99158502760001452|00032654|00032654|
The anatomical record : advances in integrative anatomy and evolutionary biology.|99157792370001452|19328486|19328486|
The annals of occupational hygiene [electronic resource].|99157512380001452|00034878|00034878|
The annals of the New York Academy of Dentistry.|99157607770001452|19316585|19316585|
The annals of thoracic surgery [electronic resource].|99157649460001452|00034975|00034975|
The application of clinical genetics.|99157363630001452|1178704X|1178704X|
The arts in psychotherapy.|99161967408901452|01974556|01974556|
The backletter.|99158506200001452|08947376|08947376|
The biochemical journal.|99158504740001452|02646021|02646021|
The bone &amp; joint journal.|99157601330001452|20494394|20494394|
The breast [electronic resource].|99158432720001452|09609776|09609776|
The breast journal [electronic resource].|99157803960001452|1075122X|1075122X|
The cancer journal [electronic resource].|99158191830001452|15289117|15289117|
The cardiology.|99157355980001452|18118194|18118194|
The cerebellum [electronic resource].|99161860634301452|14734222|14734222|
The chemical record.|99158527530001452|15278999|15278999|
The chiropractic journal.|99158191190001452|15423190|15423190|
The clinical journal of pain [electronic resource].|99158507130001452|07498047|07498047|
The clinical respiratory journal.|99157856520001452|17526981|17526981|
The clinical teacher.|99157820210001452|17434971|17434971|
The dental assistant : journal of the American Dental Assistants Association.|99158192310001452|10883886|10883886|
The diabetes educator : TDE.|99158501460001452|01457217|01457217|
The endocrinologist [electronic resource].|99158506180001452|10512144|10512144|
The foot [electronic resource].|99158435610001452|09582592|09582592|
The future of children.|99157347270001452|10548289|10548289|
The gerontologist [electronic resource].|99157751990001452|00169013|00169013|
The health care manager [electronic resource].|99158193150001452|15255794|15255794|
The international journal of biochemistry &amp; cell biology.|99161967372601452|13572725|13572725|
The international journal of cardiovascular imaging.|99158518240001452|15695794|15695794|
The international journal of clinical leadership.|99157844310001452|1757207X|1757207X|
The international journal of developmental biology.|99157475970001452|02146282|02146282|
The international journal of health planning and management [electronic resource].|99158527190001452|07496753|07496753|
The international journal of life cycle assessment.|99158518390001452|09483349|09483349|
The international journal of lower extremity wounds [electronic resource].|99158501650001452|15347346|15347346|
The international journal of medical robotics and computer assisted surgery.|99158527360001452|14785951|14785951|
The international journal of neuropsychopharmacology.|99158482130001452|14611457|14611457|
The international journal of occupational and environmental medicine.|99157380650001452|20086520|20086520|
The international journal of psychiatric nursing research.|99158193180001452|09680624|09680624|
The international journal of psychiatry in medicine.|99158423800001452|00912174|00912174|
The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease.|99158475680001452|10273719|10273719|
The international quarterly of community health education [electronic resource].|991618237701452|0272684X|0272684X|
The international tinnitus journal.|99161966795901452|09465448|09465448|
The journal of allergy and clinical immunology.|99158433660001452|00916749|00916749|
The journal of allergy and clinical immunology. In practice.|99161945622101452|22132198|22132198|
The journal of analytical psychology [electronic resource].|99157827670001452|00218774|00218774|
The journal of animal ecology [electronic resource].|99157779950001452|00218790|00218790|
The journal of applied research.|99157347710001452|1537064X|1537064X|
The journal of arthroplasty [electronic resource].|99158432090001452|08835403|08835403|
The journal of biochemistry [electronic resource].|99157664040001452|0021924X|0021924X|
The journal of cell biology.|99157649520001452|00219525|00219525|
The journal of clinical endocrinology &amp; metabolism [electronic resource].|99157650260001452|0021972X|0021972X|
The journal of clinical hypertension.|99157623530001452|15246175|15246175|
The journal of clinical investigation [electronic resource].|99157601360001452|00219738|00219738|
The journal of clinical pharmacology [electronic resource].|99158525470001452|00912700|00912700|
The journal of clinical psychiatry.|99158423440001452|01606689|01606689|
The journal of continuing education in the health professions.|99157827690001452|08941912|08941912|
The journal of craniofacial surgery [electronic resource].|99158507640001452|10492275|10492275|
The journal of economic perspectives.|99157583900001452|08953309|08953309|
The journal of eukaryotic microbiology.|99158440740001452|10665234|10665234|
The journal of evidence-based dental practice.|99158434330001452|15323382|15323382|
The journal of experimental medicine [electronic resource].|99157613520001452|00221007|00221007|
The journal of family practice.|99157751810001452|00943509|00943509|
The journal of foot and ankle surgery [electronic resource].|99158433840001452|10672516|10672516|
The journal of forensic psychiatry &amp; psychology.|99157826060001452|14789949|14789949|
The journal of gene medicine.|99158524850001452|1099498X|1099498X|
The journal of general physiology [electronic resource].|99157514820001452|00221295|00221295|
The journal of global drug policy and practice.|99157374940001452|19344708|19344708|
The journal of headache and pain [electronic resource].|99157396740001452|11292369|11292369|
The journal of heart and lung transplantation.|99158431990001452|10532498|10532498|
The journal of heredity.|99157515920001452|00221503|00221503|
The journal of hospital infection [electronic resource].|99158436120001452|01956701|01956701|
The journal of immunology.|99157514910001452|00221767|00221767|
The journal of infectious diseases.|99157649660001452|00221899|00221899|
The journal of international advanced otology.|99157860390001452|13087649|13087649|
The journal of invasive cardiology.|99157459750001452|10423931|10423931|
The journal of invasive fungal infections|99157878350001452|17533783|17533783|
The journal of investigative dermatology [electronic resource].|99157719420001452|0022202X|0022202X|
The journal of investigative dermatology. Symposium proceedings.|99157719490001452|10870024|10870024|
The journal of legal nurse consulting.|99158192970001452|10803297|10803297|
The journal of maternal-fetal &amp; neonatal medicine [electronic resource].|99157826820001452|14767058|14767058|
The journal of medical investigation : JMI.|99157346900001452|13431420|13431420|
The journal of medical microbiology.|99157515250001452|00222615|00222615|
The journal of medicine and philosophy [electronic resource].|99157501430001452|03605310|03605310|
The journal of membrane biology [electronic resource].|99158515680001452|00222631|00222631|
The journal of men's health &amp; gender.|99158434040001452|15718913|15718913|
The journal of mental health policy and economics [electronic resource].|99157431050001452|10914358|10914358|
The journal of microbiology [electronic resource] / the Microbiological Society of Korea.|99157459070001452|12258873|12258873|
The journal of molecular diagnostics : JMD.|99157770780001452|15251578|15251578|
The journal of multicultural nursing &amp; health : official journal of the Center for the Study of Multiculturalism and Health Care, Inc.|99158193700001452|15268233|15268233|
The journal of nervous and mental disease.|99158506760001452|00223018|00223018|
The journal of neuropsychiatry and clinical neurosciences [electronic resource].|99158421090001452|08950172|08950172|
The journal of neuroscience [electronic resource] : the official journal of the Society for Neuroscience.|99157650370001452|02706474|02706474|
The journal of nursing research : JNR.|99157826180001452|16823141|16823141|
The journal of nutrition, health &amp; aging.|99158515570001452|12797707|12797707|
The journal of obstetrics and gynecology of India.|99157513980001452|09719202|09719202|
The journal of oral implantology.|99157458400001452|01606972|01606972|
The journal of parasitology.|99157674890001452|00223395|00223395|
The journal of pastoral care &amp; counseling : JPCC.|99157632290001452|15423050|15423050|
The journal of pathology. Clinical research.|99161879658801452|20564538|20564538|
The journal of pediatrics.|99158435420001452|00223476|00223476|
The journal of pharmacology and experimental therapeutics.|99157649790001452|00223565|00223565|
The journal of philosophy, science &amp; law [electronic resource].|99157347120001452|15498549|15498549|
The journal of physical chemistry. A. [electronic resource].|99158485070001452|10895639|10895639|
The journal of physical chemistry. B [electronic resource].|99158485110001452|15206106|15206106|
The journal of physician assistant education [electronic resource] : the official journal of the Physician Assistant Education Association.|99158191740001452|19419430|19419430|
The journal of physiological sciences : JPS.|99157664240001452|18806546|18806546|
The journal of physiology.|99157649410001452|00223751|00223751|
The journal of primary prevention [electronic resource].|99158515330001452|0278095X|0278095X|
The journal of prosthetic dentistry.|99158435950001452|00223913|00223913|
The journal of psychiatry &amp; law.|99157825110001452|00931853|00931853|
The journal of rural health.|99158525530001452|0890765X|0890765X|
The journal of school nursing.|99158193230001452|10598405|10598405|
The journal of sex research.|99157826750001452|00224499|00224499|
The journal of sexual medicine.|99157825030001452|17436095|17436095|
The journal of spinal cord medicine.|99161958018401452|10790268|10790268|
The journal of steroid biochemistry and molecular biology [electronic resource].|99161967612301452|09600760|09600760|
The journal of the American Board of Family Medicine.|99157358330001452|15572625|15572625|
The journal of the American Osteopathic Association : JAOA.|99157592090001452|00986151|00986151|
The journal of the New York State Nurses Association.|99157598140001452|00287644|00287644|
The journal of thoracic and cardiovascular surgery.|99157650290001452|00225223|00225223|
The journal of trauma and acute care surgery.|99161941803301452|21630755|21630755|
The journal of urology.|99158436360001452|00225347|00225347|
The journal of venomous animals and toxins including tropical diseases.|99157366320001452|16789199|16789199|
The journal of venomous animals and toxins including tropical diseases.|99148011850001452|16789180|16789180|
The journals of gerontology. Series A, Biological sciences and medical sciences.|99157751150001452|10795006|10795006|
The knee [electronic resource].|99158435100001452|09680160|09680160|
The lancet HIV.|99161859575001452|23523018|23523018|
The lancet.|99158475280001452|01406736|01406736|
The lancet. Diabetes &amp; endocrinology.|99161833759101452|22138587|22138587|
The neurologist [electronic resource].|99158507440001452|10747931|10747931|
The neuroradiology journal.|99158210530001452|19714009|19714009|
The neuroscientist [electronic resource].|99158519720001452|10738584|10738584|
The neuroscientist.|99153047520001452|10738584|10738584|
The new microbiologica.|99157609340001452|11217138|11217138|
The new phytologist [electronic resource].|99157780080001452|0028646X|0028646X|
The ocular surface.|99158434240001452|15420124|15420124|
The oncologist.|99157579440001452|10837159|10837159|
The open AIDS journal.|99157216470001452|18746136|18746136|
The open allergy journal.|99157217120001452|18748384|18748384|
The open anesthesiology journal.|99157217110001452|18743218|18743218|
The open biochemistry journal.|99157218670001452|1874091X|1874091X|
The open bioinformatics journal.|99157217000001452|18750362|18750362|
The open biomarkers journal.|99157217020001452|18753183|18753183|
The open biomedical engineering journal.|99157218270001452|18741207|18741207|
The open biotechnology journal.|99157218260001452|18740707|18740707|
The open cancer journal.|99157216970001452|18740790|18740790|
The open cardiovascular medicine journal.|99157218380001452|18741924|18741924|
The open dermatology journal.|99157218690001452|18743722|18743722|
The open ethics journal [electronic resource].|99157217300001452|18747612|18747612|
The open hypertension journal.|99157216700001452|18765262|18765262|
The open infectious diseases journal.|99157217850001452|18742793|18742793|
The open medical imaging journal.|99157216500001452|18743471|18743471|
The open medicinal chemistry journal.|99157216420001452|18741045|18741045|
The open microbiology journal.|99157217650001452|18742858|18742858|
The open neurology journal.|99157218070001452|1874205X|1874205X|
The open neurosurgery journal.|99157216610001452|18765297|18765297|
The open nutraceuticals journal.|99157216600001452|18763960|18763960|
The open obesity journal.|99157218580001452|18768237|18768237|
The open ophthalmology journal.|99157218730001452|18743641|18743641|
The open pain journal.|99157216570001452|18763863|18763863|
The open prostate cancer journal.|99157218570001452|18768229|18768229|
The open public health journal.|99157217880001452|18749445|18749445|
The open respiratory medicine journal.|99157216390001452|18743064|18743064|
The open rheumatology journal.|99157218680001452|18743129|18743129|
The open stem cell journal.|99157218620001452|18768938|18768938|
The open transplantation journal.|99157218410001452|18744184|18744184|
The open urology &amp; nephrology journal.|99157218470001452|1874303X|1874303X|
The patient.|99158514570001452|11781653|11781653|
The pediatric clinics of North America.|99158432180001452|00313955|00313955|
The pharmaceutical journal [electronic resource].|99159098380001452|00316873|00316873|
The pharmacogenomics journal [electronic resource].|99157719380001452|1470269X|1470269X|
The physician and sportsmedicine [electronic resource].|99161969212101452|00913847|00913847|
The physiologist [electronic resource].|99157436560001452|00319376|00319376|
The plant cell.|99157509790001452|10404651|10404651|
The plant genome [electronic resource].|99158484100001452|19403372|19403372|
The prostate.|99158525730001452|02704137|02704137|
The protein journal.|99161916014801452|15723887|15723887|
The psychiatric bulletin.|99161280010001452|20534868|20534868|
The psychiatrist.|99157649390001452|17583209|17583209|
The psychoanalytic review [electronic resource].|99158468050001452|00332836|00332836|
The psychological review.|99158253510001452|0033295X|0033295X|
The public historian.|99158293420001452|02723433|02723433|
The quarterly journal of experimental psychology : QJEP.|99158512170001452|17470218|17470218|
The quarterly review of biology [electronic resource].|99157836730001452|00335770|00335770|
The review of diabetic studies.|99161771330501452|16136071|16136071|
The science of the total environment.|99161967412901452|00489697|00489697|
The spine journal [electronic resource].|99158434100001452|15299430|15299430|
The surgeon : journal of the Royal Colleges of Surgeons of Edinburgh and Ireland.|99157833230001452|1479666X|1479666X|
The thoracic and cardiovascular surgeon.|99158530810001452|01716425|01716425|
The use of essential drugs : report of a WHO expert committee.|99157579620001452|05123054|05123054|
The veterinary journal.|99161967639801452|10900233|10900233|
The western journal of emergency medicine [electronic resource].|99157368890001452|1936900X|1936900X|
The world journal of biological psychiatry.|99157481730001452|15622975|15622975|
TheScientificWorld [electronic resource].|99157407790001452|1537744X|1537744X|
Theoretical and applied genetics [electronic resource] : TAG.|99158515080001452|00405752|00405752|
Theoretical medicine and bioethics [electronic resource].|99161812860701452|13867415|13867415|
Theoretical population biology [electronic resource].|99161967367301452|00405809|00405809|
Theranostics [electronic resource].|99157384410001452|18387640|18387640|
Therapeutic advances in cardiovascular disease [electronic resource].|99160483150001452|17539447|17539447|
Therapeutic advances in chronic disease.|99158519040001452|20406223|20406223|
Therapeutic advances in drug safety [electronic resource].|99158520550001452|20420986|20420986|
Therapeutic advances in endocrinology and metabolism.|99158519010001452|20420188|20420188|
Therapeutic advances in gastroenterology [electronic resource].|99157487550001452|1756283X|1756283X|
Therapeutic advances in hematology.|99158519150001452|20406207|20406207|
Therapeutic advances in infectious disease.|99158501740001452|20499361|20499361|
Therapeutic advances in medical oncology.|99160483160001452|17588340|17588340|
Therapeutic advances in musculoskeletal disease.|99160483220001452|1759720X|1759720X|
Therapeutic advances in neurological disorders [electronic resource].|99157487570001452|17562856|17562856|
Therapeutic advances in psychopharmacology.|99158501160001452|20451253|20451253|
Therapeutic advances in respiratory disease [electronic resource].|99160483140001452|17534658|17534658|
Therapeutic advances in urology.|99160483240001452|17562872|17562872|
Therapeutic advances in vaccines.|99160901000001452|20510136|20510136|
Therapeutic apheresis and dialysis [electronic resource].|99158526420001452|17449979|17449979|
Therapeutic delivery.|99161961952201452|20415990|20415990|
Therapeutic drug monitoring [electronic resource].|99158506720001452|01634356|01634356|
Therapeutic hypothermia and temperature management.|99157751640001452|21537658|21537658|
Therapeutics and clinical risk management.|99157379710001452|11766336|11766336|
Theriogenology.|99161967636501452|0093691X|0093691X|
Thoracic cancer [electronic resource].|99159702400001452|17597706|17597706|
Thoracic surgery clinics.|99158435160001452|15474127|15474127|
Thorax.|99157228750001452|00406376|00406376|
Thrombosis research [electronic resource].|99158435760001452|00493848|00493848|
Thrombosis.|99157384390001452|20901488|20901488|
Thyroid [electronic resource].|99157770700001452|10507256|10507256|
Ticks and tick-borne diseases.|99161967654201452|1877959X|1877959X|
Tidsskrift for den Norske lÃ¦geforening : tidsskrift for praktisk medicin, ny rÃ¦kke.|99157606510001452|00292001|00292001|
Time.|99157832300001452|0040781X|0040781X|
Timely topics in medicine. Cardiovascular diseases [electronic resource].|99157490580001452|15790789|15790789|
Timisoara medical journal : the journal of the Victor Babes University of Medicine and Pharmacy and of the Timisoara Medical Scientific Association.|99157483580001452|15835251|15835251|
Tissue &amp; cell.|99158435050001452|00408166|00408166|
Tissue Engineering and Regenerative Medicine|99161919127601452|17382696|17382696|
Tissue antigens.|99157850880001452|00012815|00012815|
Tissue barriers.|99161826702101452|21688362|21688362|
Tissue engineering. Part A.|99157751550001452|19373341|19373341|
Tissue engineering. Part A.|99149034260001452|19373341|19373341|
Tissue engineering. Part B, Reviews.|99157751560001452|19373368|19373368|
Tissue engineering. Part B, Reviews.|99132845690001452|19373368|19373368|
Tissue engineering. Part C, Methods.|99157751530001452|19373384|19373384|
Tissue engineering. Part C, Methods.|99132847350001452|19373384|19373384|
Tobacco control.|99157228820001452|09644563|09644563|
Today's chemist at work.|99108161030001452|15324494|15324494|
Topics in clinical nutrition.|99158506280001452|08835691|08835691|
Topics in cognitive science.|99157856990001452|17568757|17568757|
Topics in companion animal medicine.|99161967408501452|19389736|19389736|
Topics in emergency medicine.|99158193260001452|01642340|01642340|
Topics in geriatric rehabilitation.|99158193040001452|08827524|08827524|
Topics in magnetic resonance imaging [electronic resource] : TMRI.|99158507380001452|08993459|08993459|
Topics in pain management.|99158507390001452|08825645|08825645|
Topics in spinal cord injury rehabilitation.|99161771333301452|10820744|10820744|
Topics in stroke rehabilitation [electronic resource].|99161950125901452|10749357|10749357|
Toraks dergisi.|99157366620001452|13027808|13027808|
Tort trial &amp; insurance practice law journal.|99157859670001452|15433234|15433234|
Torture : quarterly journal on rehabilitation of torture victims and prevention of torture.|99157509810001452|10188185|10188185|
Toxicologic pathology [electronic resource].|99157519640001452|01926233|01926233|
Toxicological sciences.|99157493630001452|10966080|10966080|
Toxicology &amp; industrial health [electronic resource].|99157850510001452|07482337|07482337|
Toxicology [electronic resource].|99158435500001452|0300483X|0300483X|
Toxicology and applied pharmacology [electronic resource].|99161967483201452|0041008X|0041008X|
Toxicology in vitro [electronic resource].|99161967635601452|08872333|08872333|
Toxicology international.|99157687620001452|09716580|09716580|
Toxicology letters [electronic resource].|99161967653401452|03784274|03784274|
Toxicology mechanisms and methods.|99157850340001452|15376516|15376516|
Toxicology reports.|99161966612801452|22147500|22147500|
Toxicology research.|99157763350001452|2045452X|2045452X|
Toxicon.|99161967502501452|00410101|00410101|
Toxin reviews.|99158476790001452|15569543|15569543|
Toxins [electronic resource].|99157371550001452|20726651|20726651|
Trace elements and electrolytes.|99157831560001452|09462104|09462104|
Traditional &amp; Kampo Medicine.|99161918651401452|20534515|20534515|
Traffic [electronic resource].|99157780020001452|13989219|13989219|
Transactions [electronic resource].|99158504730001452|03005127|03005127|
Transactions of the ... meeting of the American Surgical Association.|99161941795101452|00660833|00660833|
Transactions of the American Clinical and Climatological Association.|99161771332301452|00657778|00657778|
Transactions of the Royal Society of Tropical Medicine and Hygiene.|99158470830001452|00359203|00359203|
Transactions of the Southern Surgical Association.|99161941795701452|08913633|08913633|
Transboundary and emerging diseases.|99157844670001452|18651674|18651674|
Transcription. [electronic resource].|99157770000001452|21541264|21541264|
Transcultural psychiatry.|99158520990001452|13634615|13634615|
Transfusion [electronic resource].|99157850590001452|00411132|00411132|
Transfusion and apheresis science [electronic resource].|99158435920001452|14730502|14730502|
Transfusion clinique et biologique [electronic resource] : journal de la SociÃ©tÃ© franÃ§aise de transfusion sanguine.|99161967509301452|12467820|12467820|
Transfusion medicine [electronic resource].|99157850360001452|09587578|09587578|
Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft furÌˆ Transfusionsmedizin und ImmunhamÌˆatologie.|99161771332001452|16603796|16603796|
Transfusion medicine reviews.|99158435240001452|08877963|08877963|
Transfuze a hematologie dnes|99157875570001452|12135763|12135763|
Transgenic research [electronic resource].|99158905130001452|09628819|09628819|
Translation.|99161832461301452|2169074X|2169074X|
Translational Proteomics|99161871093401452|22129626|22129626|
Translational andrology and urology.|99161927196001452|22234683|22234683|
Translational behavioral medicine.|99161771331901452|18696716|18696716|
Translational neuroscience.|99160860890001452|20813856|20813856|
Translational oncology.|99157530680001452|19365233|19365233|
Translational psychiatry.|99157405950001452|21583188|21583188|
Translational research : the journal of laboratory and clinical medicine.|99158434220001452|19315244|19315244|
Translational stroke research.|99160710640001452|18684483|18684483|
Translational vision science &amp; technology.|99157640070001452|21642591|21642591|
Transplant immunology [electronic resource].|99157831580001452|09663274|09663274|
Transplant infectious disease [electronic resource].|99157850690001452|13982273|13982273|
Transplant international [electronic resource] : official journal of the European Society for Organ Transplantation.|99158524250001452|09340874|09340874|
Transplantation [electronic resource].|99158506160001452|00411337|00411337|
Transplantation proceedings [electronic resource].|99158432320001452|00411345|00411345|
Transplantation reviews.|99158432130001452|0955470X|0955470X|
Trauma [electronic resource].|99157831450001452|14604086|14604086|
Trauma monthly.|99157412770001452|22517464|22517464|
Trauma, violence &amp; abuse [electronic resource].|99158519640001452|15248380|15248380|
Trauma, violence &amp; abuse.|99151503080001452|15248380|15248380|
Travel medicine and infectious disease [electronic resource].|99158434880001452|14778939|14778939|
Treatments in respiratory medicine.|99158475240001452|11763450|11763450|
Tree physiology [electronic resource].|99157650610001452|0829318X|0829318X|
Tremor and other hyperkinetic movements.|99158670700001452|21608288|21608288|
Trends in anaesthesia and critical care [electronic resource].|99158432690001452|22108440|22108440|
Trends in analytical chemistry [electronic resource] : TrAC.|99161967500201452|01659936|01659936|
Trends in biochemical sciences [electronic resource].|99161967399801452|09680004|09680004|
Trends in bioinformatics.|99157762090001452|19947941|19947941|
Trends in biotechnology [electronic resource].|99158436620001452|01677799|01677799|
Trends in cardiovascular medicine [electronic resource].|99158434830001452|10501738|10501738|
Trends in cell biology.|99158435150001452|09628924|09628924|
Trends in cognitive sciences.|99158436430001452|13646613|13646613|
Trends in ecology &amp; evolution [electronic resource].|99161967638701452|01695347|01695347|
Trends in endocrinology and metabolism [electronic resource].|99158433080001452|10432760|10432760|
Trends in genetics.|99158435750001452|01689525|01689525|
Trends in hearing.|99161767061601452|23312165|23312165|
