Title	MMSID	ISSN	ISSN1	ISSN		
Leukemia research reports.	99157439730001452	2213-0489		2213-0489		
LGBT health.	99161927151701452	2325-8292	2325-8306	2325-8292		
Libri oncologici.		0300-8142		0300-8142		
Libyan journal of medicine.	99157357560001452	1993-2820	1819-6357	1993-2820		
Liebigs annalen/Recueil.	99162010635401452	1434-243X		1434-243X		
Life sciences.	99161967392501452	0024-3205	1879-0631	0024-3205		
Life sciences in space research.	99161967557701452	2214-5524	2214-5532	2214-5524		
"Life sciences, society and policy."	99157630730001452		2195-7819			
Lifetime data analysis.	99157968990001452	1380-7870	1572-9249	1380-7870		
LijecÉ??É??nicÉ??É??ki vjesnik.		0024-3477		0024-3477		
"Lijecnicki Vjesnik, Supplement."		1330-4917		1330-4917		
Likars'ka sprava.		1019-5297		1019-5297		
"Lin chuang er bi yan hou tou jing wai ke za zhi = journal of clinical otorhinolaryngology, head, and neck surgery."		1001-1781		1001-1781		
Lipid insights.	99157368220001452		1178-6353			
Lipid technology.	99158525000001452	0956-666X	1863-5377	0956-666X		
Lipid/Fett.	99158528510001452	0931-5985	1521-4133	0931-5985		
Lipids in health and disease.	99157230330001452		1476-511X			
Lipids. American Oil Chemists' Society.	99158906330001452	0024-4201	1558-9307	0024-4201		
Lippincott's case management: bmanaging the process of patient care.			1539-0675			
Literature and medicine.	99158486900001452	0278-9671	1080-6571	0278-9671		
Liver cancer.	99161958017401452	2235-1795	1664-5553	2235-1795		
Liver international.	99157822990001452	1478-3223	1478-3231	1478-3223		
Liver transplantation.	99157792290001452	1527-6465	1527-6473	1527-6465		
Liver transplantation and surgery.	99162017257501452	1074-3022	2331-3293	1074-3022		
Liver.	99157823240001452	0106-9543	1600-0676	0106-9543		
Local and regional anesthesia.	99157383200001452		1178-7112			
Local population studies.	99157561700001452	0143-2974		0143-2974		
"Logopedics, phoniatrics, vocology."	99157823770001452	1401-5439	1651-2022	1401-5439		
London journal of medicine.	99158308310001452		2041-9988			
London journal of primary care.	99161847552801452	1757-1472	1757-1480	1757-1472		
Longevity and healthspan.	99157229230001452		2046-2395			
Louvain medical.		0024-6956		0024-6956		
LPN: the journal for excellence in practical nursing.	99159246500001452	1553-0582	1553-0590	1553-0582		
Luminescence : the journal of biological and chemical luminescence.	99158524410001452	1522-7235	1522-7243	1522-7235		
Lung.	 	0341-2040	1432-1750	0341-2040		
Lung cancer international.	99157418200001452	2090-3197	2090-3200	2090-3197		
Lung cancer management.		1758-1966		1758-1966		
Lung cancer: journal of the International Association for the Study of Lung Cancer.	99158436110001452	0169-5002	1872-8332	0169-5002		
Lung cancer: Targets and therapy.			1179-1314			
Lung India.	99157362310001452	0970-2113	0974-598X	0970-2113		
Lupus.	99157823340001452	0961-2033	1477-0962	0961-2033		
Lupus science and medicine.	99161762048701452		2053-8790			
LUTS: Lower urinary tract symptoms.	99159702530001452	1757-5664	1757-5672	1757-5664		
Luzifer-Amor : Zeitschrift zur Geschichte der psychoanalyse.		0933-3347		0933-3347		
Lymphatic research and biology.	99157751280001452	1539-6851	1557-8585	1539-6851		
Lymphologie in forschung und praxis.		1433-5255		1433-5255		
Lymphology.		0024-7766		0024-7766		
Lymphoma.	99157649220001452	2090-309X	2090-3103	2090-309X		
LymphoSign journal.	 	2292-5937	2292-5945	2292-5937		
M???decine et sant??? tropicales.	 	2261-3684	2261-2211	2261-3684		
M???decine sciences : M/S.	99157438540001452	0767-0974	1958-5381	0767-0974		
mAbs.	99157614740001452	1942-0862	1942-0870	1942-0862		
Macedonian journal of medical sciences.	99157366290001452	1857-5749	1857-5773	1857-5749		
Macromolecular bioscience.	99158526380001452	1616-5187	1616-5195	1616-5187		
Macromolecular rapid communications.	99158525220001452	1022-1336	1521-3927	1022-1336		
Macromolecular reaction engineering.	99158526470001452	1862-832X	1862-8338	1862-832X		
Magma.	 	0968-5243	1352-8661	0968-5243		
Magnesium research.	 	0953-1424	1952-4021	0953-1424		
Magnetic resonance imaging.	99158436520001452	0730-725X	1873-5894	0730-725X		
Magnetic resonance imaging clinics of North America.	99158436170001452	1064-9689	1557-9786	1064-9689		
Magnetic resonance in chemistry : MRC.	99158524320001452	0749-1581	1097-458X	0749-1581		
Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in medicine.	99157666500001452	1347-3182	1880-2206	1347-3182		
Magnetic resonance in medicine.	99158526840001452	0740-3194	1522-2594	0740-3194		
Magnetic resonance insights.	99157362610001452		1178-623X			
Magyar onkologia.	99157514890001452	0025-0244	2060-0399	0025-0244		
Magyar seb???szet.	 	0025-0295	1789-4301	0025-0295		
Main group chemistry.	99157848960001452	1024-1221	1745-1167	1024-1221		
Malaria journal.	99157229430001452		1475-2875			
Malaria research and treatment.	99157383010001452	2090-8075	2044-4362	2090-8075		
Malawi medical journal : the journal of medical Association of Malawi.	99159780790001452	1995-7262	1995-7270	1995-7262		
Malaysian journal of medical sciences.	99157212440001452	1394-195X	2180-4303	1394-195X		
Malaysian journal of nutrition.	99158440230001452	1394-035X		1394-035X		
Malaysian journal of pathology.		0126-8635		0126-8635		
Malaysian orthopaedic journal.	99161932559901452	1985-2533		1985-2533		
Malta medical journal.	99157357540001452	1813-3339		1813-3339		
Mammalian genome.	99157823610001452	0938-8990	1432-1777	0938-8990		
Managed care.	99157433390001452	1062-3388		1062-3388		
Manual therapy.	99158432210001452	1356-689X	1532-2769	1356-689X		
Manufacturing chemist.	99162115155801452	0262-4230		0262-4230		
Marburger Schriften zur Medizingeschichte.		0721-3859		0721-3859		
Marine biotechnology.	99158515700001452	1436-2228	1436-2236	1436-2228		
Marine drugs.	99157354400001452		1660-3397			
Marine environmental research.	99161967525401452	0141-1136	1879-0291	0141-1136		
Marine genomics.	99161967511701452	1874-7787	1876-7478	1874-7787		
Marine Pollution Bulletin.	99161967434701452	0025-326X	1879-3363	0025-326X		
Marketing health services.	99157900820001452	1094-1304		1094-1304		
Marmara medical journal.	99157357030001452	1019-1941	1309-9469	1019-1941		
Marmara pharmaceutical journal.	99157416360001452		1309-0801			
"Maryland medicine : MM : a publication of MEDCHI, the Maryland State medical Society."		1538-2656		1538-2656		
Mass spectrometry reviews.	99158524760001452	0277-7037	1098-2787	0277-7037		
"Materials science & engineering. C, Materials for biological applications."	99161967443201452	0928-4931	1873-0191	0928-4931		
Maternal and child health journal.	99157824480001452	1092-7875	1573-6628	1092-7875		
Maternal and child nutrition.	99157823920001452	1740-8695	1740-8709	1740-8695		
Mathematical biosciences.	99161967486001452	0025-5564	1879-3134	0025-5564		
Mathematical biosciences and engineering : MBE.	 	1547-1063	1551-0018	1547-1063		
Mathematical medicine and biology : a journal of the IMA.	99157770160001452	1477-8599	1477-8602	1477-8599		
Matrix biology.	99161967653301452	0945-053X	1569-1802	0945-053X		
Matronas profesion.		1578-0740		1578-0740		
Maturitas.	99158435220001452	0378-5122	1873-4111	0378-5122		
Mayo Clinic health letter.		0741-6245		0741-6245		
Mayo Clinic proceedings.	99158224100001452	0025-6196	1942-5546	0025-6196		
mBio.	99157371320001452	2161-2129	2150-7511	2161-2129		
McGill journal of medicine.	99157343020001452	1201-026X		1201-026X		
MCN. The American journal of maternal child nursing.	99158507020001452	0361-929X	1539-0683	0361-929X		
MD advisor : a journal for New Jersey medical community.	 	1937-0660	1947-3613	1937-0660		
Measurement in physical Education and Exercise science.	99157824310001452	1091-367X	1532-7841	1091-367X		
Meat science.	99161967655901452	0309-1740	1873-4138	0309-1740		
Mechanisms of Ageing and development.	99161967388601452	0047-6374	1872-6216	0047-6374		
Mechanisms of development.	99161967558701452	0925-4773	1872-6356	0925-4773		
MedChemComm.	99157763320001452	2040-2503	2040-2511	2040-2503		
Medecine des Maladies metaboliques.	 	1957-2557	2214-8477	1957-2557		
Medecine du Sommeil.		1769-4493		1769-4493		
Medecine et Droit.	99161967521001452	1246-7391	1777-5612	1246-7391		
Medecine et Maladies infectieuses.	99161967614201452	0399-077X	1769-6690	0399-077X		
Medecine Nucleaire.	99161967365901452	0928-1258	1878-6820	0928-1258		
Mediators of inflammation.	99157360230001452	0962-9351	1466-1861	0962-9351		
medical acupuncture.	99157770400001452	1933-6586	1933-6594	1933-6586		
Medical and biological engineering and computing.	99157822620001452	0140-0118	1741-0444	0140-0118		
Medical and pediatric oncology.	99158524090001452	0098-1532	0098-1532	0098-1532		
Medical and pediatric oncology. Supplement.		0740-8226		0740-8226		
Medical and veterinary entomology.	99157824940001452	0269-283X	1365-2915	0269-283X		
Medical anthropology.	99158512520001452	0145-9740	1545-5882	0145-9740		
Medical anthropology quarterly.	99158297650001452	0745-5194		0745-5194		
Medical archives.	99161866764001452	0350-199X	1986-5961	0350-199X		
Medical care.	99158292260001452	0025-7079	1537-1948	0025-7079		
Medical care research and review.	99158520670001452	1077-5587	1552-6801	1077-5587		
Medical Channel.	99157376540001452	1681-5491	2077-9135	1681-5491		
Medical clinics of North America.	99158434380001452	0025-7125	1557-9859	0025-7125		
Medical decision making : an international journal of the Society for Medical Decision Making.	99158502040001452	0272-989X	1552-681X	0272-989X		
Medical devices: evidence and research.	99157363100001452		1179-1470			
Medical dosimetry: official journal of the American Association of Medical Dosimetrists.	99158433250001452	0958-3947	1873-4022	0958-3947		
Medical economics.	99157431030001452	0025-7206	2150-7155	0025-7206		
Medical education.	99157824200001452	0308-0110	1365-2923	0308-0110		
Medical education online.	99157349540001452		1087-2981			
"Medical Education, Supplement."		1352-3929		1352-3929		
Medical engineering & physics.	99158432070001452	1350-4533	1873-4030	1350-4533		
Medical epigenetics.	99161820126401452		1664-5561			
Medical forum Monthly.		1029-385X		1029-385X		
Medical gas research.	99157229660001452		2045-9912			
Medical history.	99161948350201452	0025-7273		0025-7273		
Medical humanities.	99157228810001452	1468-215X	1473-4265	1468-215X		
Medical hypotheses.	99158433520001452	0306-9877	1532-2777	0306-9877		
Medical image analysis.	99161967489001452	1361-8415	1361-8423	1361-8415		
Medical image computing and computer-assisted intervention : MICCAI ...						
Medical immunology.	99157211510001452		1476-9433			
Medical innovation & business.						
Medical journal Armed Forces India.	99157617320001452	0377-1237		0377-1237		
Medical journal of Australia.	 	0025-729X	1326-5377	0025-729X		
Medical journal of Bakirkoy.		1305-9327		1305-9327		
Medical journal of Chinese People's Liberation Army.	99157412200001452	0577-7402		0577-7402		
Medical journal of Indonesia.		2252-8083		2252-8083		
Medical journal of Malaysia.	99161958486801452	0300-5283		0300-5283		
Medical journal of Mashhad University of Medical Sciences.	 	1735-4013	2008-2673	1735-4013		
Medical journal of Minami Osaka Hospital.		0540-1259		0540-1259		
Medical law international.	 	0968-5332	2047-9441	0968-5332		
Medical law review.	99157770600001452	0967-0742	1464-3790	0967-0742		
Medical letter on drugs and therapeutics.		0025-732X		0025-732X		
Medical microbiology and immunology.	 	0300-8584	1432-1831	0300-8584		
Medical molecular Morphology.	 	1860-1480	1860-1499	1860-1480		
Medical Mycology case reports.	99157421530001452	2211-7539		2211-7539		
Medical mycology: official publication of the International Society for Human and Animal Mycology.	99161970728701452	1369-3786	1460-2709	1369-3786		
Medical oncology.	 	1357-0560	1559-131X	1357-0560		
Medical photonics.	99161967651901452	2213-8846		2213-8846		
Medical physics.	99157751850001452	0094-2405		0094-2405		
Medical physiology online.			1985-4811			
Medical principles and practice.	99157751570001452	1011-7571	1423-0151	1011-7571		
Medical problems of Performing Artists.	99158423480001452	0885-1158	1938-2766	0885-1158		
Medical radiology.	 	0942-5373	2197-4187	0942-5373		
Medical reference services quarterly.	99158512230001452	0276-3869	1540-9597	0276-3869		
Medical science Monitor.	99158798640001452	1234-1010	1643-3750	1234-1010		
Medical science monitor basic research.	99158798720001452	2325-4394	2325-4416	2325-4394		
Medical science technology.			2329-0072			
Medical teacher.	99157823660001452	0142-159X	1466-187X	0142-159X		
Medical Ultrasonography.	99157640720001452	1844-4172	2066-8643	1844-4172		
Medicare & Medicaid research review.	99157793050001452	 2159-0354		 2159-0354		
MEDICC review.	99157404490001452	1555-7960	1527-3172	1555-7960		
Medicina.	99161967498401452	1010-660X	1648-9144	1010-660X		
Medicina (Argentina).	99157386420001452	0025-7680	1669-9106	0025-7680		
Medicina (Brazil).	 	0076-6046	2176-7262	0076-6046		
Medicina clinica.	 	0025-7753	1578-8989	0025-7753		
Medicina clinica e termale.		1123-9395		1123-9395		
Medicina clinica Monografias.		1577-1512		1577-1512		
Medicina Cutanea Ibero-Latino-Americana.	99157313240001452	0210-5187		0210-5187		
Medicina e historia.		0300-8169		0300-8169		
Medicina intensiva.	99157356850001452	0210-5691	1578-6749	0210-5691		
Medicina interna de Mexico.	99157822770001452	0186-4866		0186-4866		
Medicina nei secoli.		0394-9001		0394-9001		
"Medicina oral, patologia oral y Cirugia Bucal."	99157329150001452	1698-4447	1698-6946	1698-4447		
Medicina paliativa.		1134-248X		1134-248X		
Medicina reproductiva y Embriologia clinica.			2340-9320			
Medicina sportiva.			1734-2260			
Medicinal chemistry.	 	1573-4064	1875-6638	1573-4064		
Medicinal chemistry research.	99158515600001452	1054-2523	1554-8120	1054-2523		
Medicinal Plants.	 	0975-4261	0975-6892	0975-4261		
Medicinal research reviews.	99158524930001452	0198-6325	1098-1128	0198-6325		
Medicine (Spain).	 	0304-5412	1578-8822	0304-5412		
Medicine (United Kingdom).	99158433850001452	1357-3039	1878-9390	1357-3039		
Medicine (United States).	99158506010001452	0025-7974	1536-5964	0025-7974		
Medicine and law.	99161841762801452	0723-1393		0723-1393		
Medicine and science in sports and exercise.	99158506900001452	0195-9131	1530-0315	0195-9131		
Medicine and sport science.	 	0254-5020	1662-2812	0254-5020		
Medicine Today.	 	1443-430X	2203-0794	1443-430X		
"Medicine, conflict, and survival."	99158513230001452	1362-3699		1362-3699		
"Medicine, health care, and philosophy."	 	1386-7423	1572-8633	1386-7423		
"Medicine, science, and the law."	99158457020001452	0025-8024	2042-1818	0025-8024		
Medicinski Casopis.		0350-1221		0350-1221		
Medicinski glasnik.	99157354440001452	1840-0132	1840-2445	1840-0132		
Medicinski pregled.	99157386330001452	0025-8105	1820-7383	0025-8105		
Medico e Bambino.		1591-3090		1591-3090		
Medico-legal journal.	 	0025-8172	2042-1834	0025-8172		
Medico-legal journal.	99162028544801452	 2042-1834		 2042-1834		
Medico-Legal Update.	 	0971-720X	0974-1283	0971-720X		
Medinfo.		1569-6332		1569-6332		
Mediterranean journal of hematology and infectious diseases.	99157378940001452		2035-3006			
Mediterranean journal of nutrition and metabolism.	 	1973-798X	1973-7998	1973-798X		
Mediterranean journal of pacing and Electrophysiology.		1128-4293		1128-4293		
Meditsina truda i promyshlennaia ekologiia.		1026-9428		1026-9428		
Meditsinskaia parazitologiia i parazitarnye bolezni.		0025-8326		0025-8326		
Meditsinskaia tekhnika.		0025-8075		0025-8075		
"Medizin, gesellschaft, und geschichte : Jahrbuch des Instituts f?É?Ær geschichte der Medizin der Robert Bosch Stiftung."		0939-351X		0939-351X		
Medizinhistorisches journal.	99158308650001452	0025-8431	1611-4477	0025-8431		
Medizinische genetik.	99157507200001452	0936-5931	1863-5490	0936-5931		
Medizinische Klinik - intensivmedizin und Notfallmedizin.	 	2193-6218	2193-6226	2193-6218		
Medizinische Monatsschrift fur pharmazeuten.		0342-9601		0342-9601		
Medizinische Welt.		0025-8512		0025-8512		
Medizintechnik (Cologne).		0344-9416		0344-9416		
Medscape general medicine.	99157574730001452	1531-0132		1531-0132		
Medsurg nursing : official journal of the Academy of medical-Surgical Nurses.	99157824360001452	1092-0811		1092-0811		
Medwave.	99157418420001452		0717-6384			
Medycyna do?éÒwiadczalna i mikrobiologia.		0025-8601		0025-8601		
Medycyna paliatywna w praktyce.	 	1898-0678	1689-4898	1898-0678		
Medycyna pracy.	99161846359001452	0465-5893	2353-1339	0465-5893		
Melanoma management.	 	2045-0885	2045-0893	2045-0885		
Melanoma research.	99158506430001452	0960-8931	1473-5636	0960-8931		
Mem??rias do Instituto Oswaldo Cruz.	99157213080001452	0074-0276	1678-8060	0074-0276		
Meme Sagligi dergisi / journal of Breast health.	99157860360001452	1306-0945		1306-0945		
Memo - Magazine of European medical oncology.	 	1865-5041	1865-5076	1865-5041		
Memory.	99157823970001452	0965-8211	1464-0686	0965-8211		
Memory & cognition.	99158515430001452	0090-502X	1532-5946	0090-502X		
Men in nursing.	99159246670001452	1558-6243	1558-6251	1558-6243		
Mendel newsletter:  archival resources for history of genetics & allied sciences.						
"99157445130001452"""	0025-9241					
Menopause.	99158506920001452	1072-3714	1530-0374	1072-3714		
Mental health and physical activity.	99158433060001452	1755-2966	1878-0199	1755-2966		
Mental health and Substance Use: Dual diagnosis.	 	1752-3281	1752-3273	1752-3281		
Mental health today.	99158193120001452	1474-5186		1474-5186		
Mental Illness.	99161809094201452	2036-7457	2036-7465	2036-7457		
Mental retardation and developmental disabilities research reviews. (continued by Developmental disabilities research reviews).	99157823460001452	1080-4013	1098-2779	1080-4013		
MeReC Bulletin.	99157488910001452	1465-5659		1465-5659		
Meta gene.	99161268060001452		2214-5400			
Metabolic brain disease.	99160710660001452	0885-7490	1573-7365	0885-7490		
Metabolic engineering.	99161967528601452	1096-7176	1096-7184	1096-7176		
Metabolic engineering communications.	99161871092201452		2214-0301			
Metabolic syndrome and related disorders.	99157752050001452	1540-4196	1557-8518	1540-4196		
Metabolism and nutrition in oncology.			2194-735X			
Metabolism: clinical and experimental.	99158434250001452	0026-0495	1532-8600	0026-0495		
Metabolites.	99157419030001452		2218-1989			
Metabolomics.	99157879050001452	1573-3882	1573-3890	1573-3882		
Metal ions in life sciences.	 	1559-0836	2041-9821	1559-0836		
Metallomics.	99157763420001452	1756-5901	1756-591X	1756-5901		
Methodist DeBakey cardiovascular journal.	99157878580001452	1947-6094	1947-6108	1947-6094		
Methodology: European journal of research methods for the behavioral & social sciences.						
Methods.	99161967410401452	1046-2023	1095-9130	1046-2023		
Methods in cell biology.		0091-679X		0091-679X		
Methods in enzymology.	99161967533801452	0076-6879	1557-7988	0076-6879		
Methods in molecular biology.		1064-3745	1940-6029	1064-3745		
Methods in molecular medicine.	 	1543-1894	1940-6037	1543-1894		
Methods in pharmacology and toxicology.	 	1557-2153	1940-6053	1557-2153		
Methods of biochemical analysis.	 	0076-6941	1934-4325	0076-6941		
Methods of information in medicine.		0026-1270		0026-1270		
MethodsX.	99161778058301452		2215-0161			
MGMA connexion.		1537-0240		1537-0240		
Michigan law review.	99157675300001452	0026-2234		0026-2234		
Michigan medicine.		0026-2293		0026-2293		
Michigan nurse.	99157445130001452	0026-2366		0026-2366		
Micro and nano letters.	99158478880001452		1750-0443			
Microbes and environments.	99157242620001452	1342-6311	1347-4405	1342-6311		
Microbes and infection.	99161967435901452	1286-4579	1769-714X	1286-4579		
Microbial & comparative genomic.						
Microbial biotechnology.	99157414570001452	1751-7907	1751-7915	1751-7907		
Microbial cell Factories.	99157229460001452		1475-2859			
Microbial drug resistance.	99157769940001452	1076-6294	1931-8448	1076-6294		
Microbial ecology.	99158308460001452	0095-3628	1432-184X	0095-3628		
Microbial informatics and experimentation.	99157229130001452		2042-5783			
Microbial pathogenesis.	99161967482301452	0882-4010	1096-1208	0882-4010		
Microbial risk analysis.	99161967616001452		2352-3522			
Microbiological research.	99157440550001452	0944-5013	1618-0623	0944-5013		
Microbiology (United Kingdom).	99157496050001452	1350-0872	1465-2080	1350-0872		
Microbiology and biotechnology letters.			2234-7305			
Microbiology and immunology.	99157502210001452	0385-5600	1348-0421	0385-5600		
Microbiology and molecular biology reviews.	99157650590001452	1092-2172	1098-5557	1092-2172		
Microbiology insights.	99157368190001452		1178-6361			
Microbiology research.	99157385950001452	2036-7473	2036-7481	2036-7473		
Microbiology spectrum.	99161931103101452		2165-0497			
MicrobiologyOpen.	99157404830001452		2045-8827			
Microbiome.	99157229280001452		2049-2618			
"Microcirculation: the official journal of the Microcirculatory Society, Inc."	99157821660001452	1073-9688	1549-8719	1073-9688		
Micron : the international research and review journal for microscopy.	99161967422001452	0968-4328	1878-4291	0968-4328		
MicroRNA.	 	2211-5366	2211-5374	2211-5366		
MicroRNA diagnostics and therapeutics.	99161835155901452		2084-6843			
Microscopy.	99159700590001452	2050-5698	2050-5701	2050-5698		
"Microscopy and microanalysis : the official journal of Microscopy Society of America, Microbeam Analysis Society, Microscopical Society of Canada."	99161948353901452	1431-9276	1435-8115	1431-9276		
Microscopy research and technique.	99158524690001452	1059-910X	1097-0029	1059-910X		
Microsurgery.	99158526400001452	0738-1085	1098-2752	0738-1085		
Microvascular research.	99161967367901452	0026-2862	1095-9319	0026-2862		
Middle East African journal of ophthalmology.	99157362580001452	0974-9233	0975-1599	0974-9233		
Middle East Fertility Society journal.	99157212850001452	1110-5690	2090-3251	1110-5690		
Middle East journal of anaesthesiology.	99157593120001452	0544-0440		0544-0440		
Middle East journal of cancer.	99157386840001452	2008-6709	2008-6687	2008-6709		
Middle East journal of digestive diseases.	99157387730001452	2008-5230	2008-5249	2008-5230		
Mid-Taiwan journal of medicine.		1029-3507		1029-3507		
Midwifery.	99161966722301452	0266-6138	1532-3099	0266-6138		
Midwifery today with international midwife.	99161966787501452	1551-8892		1551-8892		
Midwives.	99158192440001452	1479-2915		1479-2915		
Mikologia lekarska.	99157355840001452	1232-986X		1232-986X		
Mikrobiologiia.		0026-3656		0026-3656		
Mikrobiolohichny??? zhurnal = Mikrobiologichny zhurnal.		1028-0987		1028-0987		
Mikrobiyoloji b?É?Ælteni.		0374-9096		0374-9096		
Milbank Quarterly.	99157822130001452	0887-378X	1468-0009	0887-378X		
Milestones in drug therapy.		2296-6056		2296-6056		
Military medical research.	99161932658201452	2095-7467	2054-9369	2095-7467		
Military medicine. Association of Military Surgeons of the United States.	99157822230001452	0026-4075	1930-613X	0026-4075		
Milli Nevrologiya Jurnali.		2227-0892		2227-0892		
Minds and machines.	99157821920001452	0924-6495	1572-8641	0924-6495		
Minerva anestesiologica.		0375-9393		0375-9393		
Minerva biotecnologica.		1120-4826		1120-4826		
Minerva cardioangiologica.		0026-4725		0026-4725		
Minerva chirurgica.	 	0026-4733	1827-1626	0026-4733		
Minerva endocrinologica.	 	0391-1977	1827-1634	0391-1977		
Minerva gastroenterologica e dietologica.	 	1121-421X	1827-1642	1121-421X		
Minerva ginecologica.		0026-4784		0026-4784		
Minerva medica.		0026-4806		0026-4806		
Minerva pediatrica.		0026-4946		0026-4946		
Minerva Pneumologica.		0026-4954		0026-4954		
Minerva psichiatrica.	 	0391-1772	1827-1731	0391-1772		
Minerva Stomatologica.	 	0926-4970	1827-174X	0926-4970		
Minerva urologica e Nefrologica.		0393-2249		0393-2249		
Minimally invasive neurosurgery: MIN.	99158530670001452	0946-7211	1439-2291	0946-7211		
Minimally invasive therapy & allied technologies: MITAT: official journal of the Society for Minimally Invasive Therapy.	99157822100001452	1364-5706	1365-2931	1364-5706		
Mini-Reviews in medicinal chemistry.	 	1389-5575	1875-5607	1389-5575		
Minnesota medicine.	99157348090001452	0026-556X		0026-556X		
Mississippi RN.	99158193630001452	0026-6388		0026-6388		
Missouri medicine.		0026-6620		0026-6620		
Mitochondrial DNA.	99157859390001452	1940-1736	1940-1744	1940-1736		
Mitochondrion.	99161967620701452	1567-7249	1872-8278	1567-7249		
MLO: medical laboratory observer.	99157821140001452	0580-7247		0580-7247		
MMW-Fortschritte der Medizin.	 	1438-3276	1613-3560	1438-3276		
MMWR supplements.	 	2380-8950	2380-8942	2380-8950		
MMWR. Morbidity and mortality weekly report.	99157347990001452	0149-2195	1545-861X	0149-2195		
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports.	99157344140001452	1057-5987	1545-8601	1057-5987		
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries.	99157346030001452	1546-0738	1545-8636	1546-0738		
Mobile DNA.	99157230000001452		1759-8753			
Mobile genetic Elements.	99157751520001452	2159-2543	2159-256X	2159-2543		
Modares journal of medical sciences: Pathobiology.		1562-9554		1562-9554		
Modern drug discovery.		1099-8209	1532-4486	1099-8209		
Modern healthcare.	99157840730001452	0160-7480		0160-7480		
Modern healthcare.	99157840730001452	0160-7480		0160-7480		
Modern pharmaceutical research.		1940-9257		1940-9257		
Modern rheumatology.	99161763541701452	1439-7595	1439-7609	1439-7595		
Modern trends in pharmacopsychiatry.	 	1662-2685	1662-4505	1662-2685		
Molecular & cellular biomechanics : MCB.	 	1556-5297	1556-5300	1556-5297		
Molecular and biochemical parasitology.	99161967362901452	0166-6851	1872-9428	0166-6851		
Molecular and cellular biochemistry.	99158515370001452	0300-8177	1573-4919	0300-8177		
Molecular and cellular biology.	99157650400001452	0270-7306	1098-5549	0270-7306		
Molecular and cellular endocrinology.	99161967558301452	0303-7207	1872-8057	0303-7207		
Molecular and cellular neuroscience.	99161967546901452	1044-7431	1095-9327	1044-7431		
Molecular and cellular pediatrics.	99161785757201452		2194-7791			
Molecular and cellular pharmacology.	99162001412701452		1938-1247			
Molecular and cellular probes.	99161967502701452	0890-8508	1096-1194	0890-8508		
Molecular and cellular proteomics.	99157481530001452	1535-9476	1535-9484	1535-9476		
Molecular and cellular toxicology.	 	1738-642X	2092-8467	1738-642X		
Molecular and clinical oncology.	99161826718601452	2049-9450	2049-9469	2049-9450		
Molecular Aspects of medicine.	99161967466201452	0098-2997	1872-9452	0098-2997		
Molecular Autism.	99157230490001452		2040-2392			
Molecular biology and Evolution.	99157505980001452	0737-4038	1537-1719	0737-4038		
Molecular biology of the cell.	99157650150001452	1059-1524	1939-4586	1059-1524		
Molecular biology reports.	99158515000001452	0301-4851	1573-4978	0301-4851		
Molecular bioSystems.	99158503220001452	1742-206X	1742-2051	1742-206X		
Molecular biotechnology.	 	1073-6085	1559-0305	1073-6085		
Molecular brain.	99157229330001452		1756-6606			
Molecular breeding.	99157822340001452	1380-3743	1572-9788	1380-3743		
Molecular cancer.	99157229820001452		1476-4598			
Molecular cancer research. American Association for Cancer Research.	99157481860001452	1541-7786	1557-3125	1541-7786		
Molecular cancer therapeutics. American Association for Cancer Research & HighWire Press.	99157650250001452	1535-7163	1538-8514	1535-7163		
Molecular carcinogenesis.	99158525130001452	0899-1987	1098-2744	0899-1987		
Molecular cell.	99161967490701452	1097-2765	1097-4164	1097-2765		
Molecular cytogenetics.	99157211110001452		1755-8166			
Molecular diagnosis.			1532-8619			
Molecular diagnosis & therapy.	99158514590001452	1177-1062	1179-2000	1177-1062		
Molecular diversity.	 	1381-1991	1573-501X	1381-1991		
Molecular ecology.	99157821050001452	0962-1083	1365-294X	0962-1083		
Molecular ecology notes.	99157840520001452	1471-8278	1471-8286	1471-8278		
Molecular ecology resources.	99157859380001452	1755-098X	1755-0998	1755-098X		
Molecular endocrinology.	99157649650001452	0888-8809	1944-9917	0888-8809		
Molecular genetics & genomic medicine.	99157792120001452	2324-9269		2324-9269		
Molecular genetics and genomics.	99158929620001452	1617-4615	1617-4623	1617-4615		
Molecular genetics and metabolism.	99161967550701452	1096-7192	1096-7206	1096-7192		
Molecular genetics and metabolism reports.	99161778058001452		2214-4269			
"Molecular genetics, microbiology and Virology."	 	0891-4168	1934-841X	0891-4168		
Molecular human reproduction.	99157496140001452	1360-9947	1460-2407	1360-9947		
Molecular imaging.	99157840640001452	1535-3508	1536-0121	1535-3508		
Molecular imaging and biology.	99161966078301452	1536-1632	1860-2002	1536-1632		
Molecular immunology.	99161967433001452	0161-5890	1872-9142	0161-5890		
Molecular informatics.	99158524110001452	1868-1743	1868-1751	1868-1743		
Molecular interventions.	99119346180001452	1534-0384	1543-2548	1534-0384		
Molecular medicine.	99157365560001452	1076-1551		1076-1551		
Molecular medicine reports.	99157565300001452	1791-2997	1791-3004	1791-2997		
Molecular membrane biology.	99157821720001452	0968-7688	1464-5203	0968-7688		
Molecular metabolism.	99157439660001452	2212-8778		2212-8778		
