Title,MMSID,ISSN,ISSN1,,
Neurochemistry international.,99161967428801400,0197-0186,1872-9754,,
Neurochirurgie.,99161945622001400,0028-3770,1773-0619,,
Neurocirugia.,99157313580001400,1130-1473,,,
Neurocomputing.,99161967422801400,0925-2312,1872-8286,,
Neurocritical care.,99160710650001400,1541-6933,1556-0961,,
Neurodegeneration.,99161967523401400,1055-8330,1522-9661,,
Neurodegenerative disease management.,99161961952001400,1758-2024,1758-2032,,
Neurodegenerative diseases.,99157751980001400,1660-2854,1660-2862,,
Neurodiagnostic journal.,99157873430001400,2164-6821,2375-8627,,
Neuroendocrinology.,99157751540001400,0028-3835,1423-0194,,
Neuroendocrinology letters.,99157613540001400,0172-780X,,,
Neuroepidemiology.,99157770710001400,0251-5350,1423-0208,,
Neuroepigenetics.,99161967614701400,,2214-7845,,
Neuroethics., ,1874-5490,1874-5504,,
Neuroforum.,,0947-0875,,,
Neurogastroenterology and Motility.,99157821230001400,1350-1925,1365-2982,,
Neurogenesis.,,,2326-2133,,
Neurogenetics., ,1364-6745,1364-6753,,
Neurohospitalist.,99158518840001400,1941-8752, 1941-8744,,
NeuroImage.,99161967429901400,1053-8119,1095-9572,,
NeuroImage: Clinical.,99157421370001400,,2213-1582,,
Neuroimaging clinics of North America.,99158436760001400,1052-5149,1557-9867,,
NeuroImmunoModulation.,99157751890001400,1021-7401,1423-0216,,
Neuroinformatics., ,1539-2791,1559-0089,,
Neurologia., ,0213-4853,1578-1968,,
NeurologÌa : publicaciÛn oficial de la Sociedad EspaÒola de NeurologÌa.,99161985194401400, 1578-1968,,,
Neurologia Argentina.,,1853-0028,,,
Neurologia Croatica.,,0353-8842,,,
Neurologia i neurochirurgia Polska.,99161967399101400,0028-3843,1897-4260,,
Neurologia medico-Chirurgica.,99157242350001400,0470-8105,1349-8029,,
Neurologia Suplementos.,,1695-5374,,,
"Neurologia, neurocirugia y psiquiatria.",99157836440001400,0028-3851,,,
Neurologic clinics.,99158435350001400,0733-8619,1557-9875,,
Neurological research.,99158476660001400,0161-6412,1743-1328,,
Neurological sciences.,99157822080001400,1590-1874,1590-3478,,
Neurological surgery., ,0301-2603,1882-1251,,
Neurologie und rehabilitation.,,0947-2177,,,
Neurologist.,99158507440001400,1074-7931,,,
Neurologist.,99158507440001400,1074-7931,2331-2637,,
Neurology.,99157770670001400,0028-3878,1526-632X,,
Neurology and clinical neuroscience.,99161487950001400,,2049-4173,,
Neurology and therapy.,99161850956501400,2193-8253,2193-6536,,
Neurology Asia.,99157342310001400,1823-6138,,,
Neurology India.,99157212510001400,0028-3886,1998-4022,,
Neurology international.,99157361560001400,2035-8385,2035-8377,,
Neurology now.,99157469420001400,1553-3271,1553-328X,,
Neurology psychiatry and brain research.,99161967393401400,0941-9500,2212-8581,,
Neurology research international.,99157388890001400,2090-1852,2090-1860,,
Neurology today: an official publication of the American Academy of Neurology.,99161941801401400,1533-7006,1548-7822,,
"Neurology, neurophysiology and neuroscience.", ,1526-8748,1933-1266,,
Neurology: Clinical practice.,99157769960001400,2163-0402,2163-0933,,
Neurology: Genetics.,99161931644501400,,2376-7839,,
Neurology: neuroimmunology and neuroInflammation.,99161770661901400,,2332-7812,,
Neuromethods., ,0893-2336,1940-6045,,
Neuromodulation.,99157821850001400,1094-7159,1525-1403,,
NeuroMolecular medicine., ,1535-1084,1559-1174,,
Neuromuscular disorders.,99158434870001400,0960-8966,1873-2364,,
Neuron.,99161967655401400,0896-6273,1097-4199,,
Neuron glia biology.,99161948549301400,1740-925X,1741-0533,,
Neuro-Oncology.,99157499880001400,1522-8517,1523-5866,,
Neuro-oncology.,99157499880001400,1522-8517,1523-5866,,
Neuro-Oncology practice.,99161854729701400,2054-2577,2054-2585,,
Neuro-ophthalmology.,99157840450001400,0165-8107,1744-506X,,
Neuro-ophthalmology.,99157840450001400,0165-8107,1744-506X,,
Neuro-ophthalmology Japan.,,0289-7024,,,
Neuropathological diseases., ,2160-2468,2160-2476,,
Neuropathology and applied neurobiology.,99157821080001400,0305-1846,1365-2990,,
Neuropathology: official journal of the Japanese Society of Neuropathology.,99157840770001400,0919-6544,1440-1789,,
Neuropediatrics.,99158530570001400,0174-304X,1439-1899,,
Neuropeptides.,99158432570001400,0143-4179,1532-2785,,
Neuropharmacology.,99161967434501400,0028-3908,1873-7064,,
Neurophotonics.,99161861258401400,2329-423X,2329-4248,,
Neurophysiologie clinique.,99158443790001400,0987-7053,1769-7131,,
Neurophysiologie-Labor.,99161967559901400,1439-4847,1876-4487,,
Neurophysiology., ,0090-2977,1573-9007,,
Neuropsychiatria i neuropsychologia.,99157394330001400,1896-6764,,,
Neuropsychiatric disease and treatment.,99157362730001400,1176-6328,1178-2021,,
Neuropsychiatrie., ,0948-6259,2194-1327,,
Neuropsychiatrie de l'Enfance et de l'Adolescence.,99161967508901400,0222-9617,1769-6615,,
Neuropsychiatry., ,1758-2008,1758-2016,,
"Neuropsychiatry, neuropsychology, and behavioral neurology.",99158507220001400,0894-878X,1537-0887,,
Neuropsychobiology.,99157752090001400,0302-282X,1423-0224,,
Neuropsychologia.,99161967434601400,0028-3932,1873-3514,,
Neuropsychological rehabilitation.,99157821510001400,0960-2011,1464-0694,,
Neuropsychology.,99158253700001400,0894-4105,1931-1559,,
Neuropsychology review.,99158515500001400,1040-7308,1573-6660,,
"Neuropsychology, development, and cognition. Section B, Aging, neuropsychology and cognition.", ,1382-5585,1744-4128,,
Neuropsychopharmacologia Hungarica.,99162050329901400,1419-8711,,,
Neuropsychopharmacology.,99157719710001400,0893-133X,1740-634X,,
NeuroQuantology.,99157851920001400,,1303-5150,,
Neuroradiology.,99158209660001400,0028-3940,1432-1920,,
Neuroradiology journal.,99158210530001400,1971-4009,,,
NeuroRehabilitation.,99157840960001400,1053-8135,1878-6448,,
Neurorehabilitation and neural repair.,99158520710001400,1545-9683,1552-6844,,
Neuroreport.,99158506090001400,0959-4965,1473-558X,,
Neuroscience.,99158432540001400,0306-4522,1873-7544,,
Neuroscience and behavioral physiology.,99158515920001400,0097-0549,1573-899X,,
Neuroscience and biobehavioral reviews.,99161967520001400,0149-7634,1873-7528,,
Neuroscience and biomedical engineering., ,2213-3852,2213-3860,,
Neuroscience and neuroeconomics.,99160900290001400,,2230-3561,,
Neuroscience Bulletin., ,1673-7067,1995-8218,,
Neuroscience imaging.,,1556-4010,,,
Neuroscience letters.,99161967536501400,0304-3940,1872-7972,,
Neuroscience research.,99161967407101400,0168-0102,1872-8111,,
Neuroscience research communications.,99162014515501400,0893-6609,1520-6769,,
Neurosciences.,99157494550001400,1319-6138,,,
Neuroscientist.,99158519720001452 99153047520001452 ,1073-8584,1089-4098,,
NeuroSignals.,99157413050001400,1424-862X,1424-8638,,
Neurosurgery.,99158507230001400,0148-396X,1524-4040,,
Neurosurgery clinics of North America.,99158435550001400,1042-3680,1558-1349,,
Neurosurgery quarterly.,99158506310001400,1050-6438,1534-4916,,
Neurosurgical focus.,99157348480001400,,1092-0684,,
Neurosurgical review., ,0344-5607,1437-2320,,
Neurotherapeutics.,99161958016801400,1933-7213,1878-7479,,
Neurotoxicity research.,99157840120001400,1029-8428,1476-3524,,
NeuroToxicology.,99161967618201400,0161-813X,1872-9711,,
Neurotoxicology and teratology.,99158433110001400,0892-0362,1872-9738,,
Neurourology and urodynamics.,99158524480001400,0733-2467,1520-6777,,
New Armenian medical journal.,,1829-0825,,,
New bioethics : a multidisciplinary journal of biotechnology and body.,99161600800001400,2050-2877,2050-2885,,
New biotechnology.,99161967364101400,1871-6784,1876-4347,,
New developments in medicinal chemistry.,,2210-9277,,,
New developments in NMR., ,2044-253X,2044-2548,,
New directions for child and adolescent development.,99157822470001400,1520-3247,1534-8687,,
New directions for child development. (continued by New directions for child and adolescent development).,99158220210001400,0195-2269,2331-3498,,
New directions for mental health services. (con tinued by New directions for youth development. ).,99158485380001400,0193-9416,1558-4453,,
New directions for student leadership.,99161941840801400,2373-3349,2373-3357,,
New directions for student services.,99157840940001400,0164-7970,1536-0695,,
New England journal of medicine.,99158464430001400,0028-4793,1533-4406,,
New genetics and Society.,99157821650001400,1463-6778,1469-9915,,
New Horizons in translational medicine.,,,2307-5023,,
New Jersey nurse.,99158192830001400,0196-4895,,,
New journal of chemistry.,99157493020001400,1144-0546,1369-9261,,
New medicine., ,1427-0994,1731-2507,,
New microbes and New infections.,99161766496001400,2052-2975,,,
new microbiologica.,99157609340001400,1121-7138,,,
New phytologist.,99157780080001400,0028-646X,1469-8137,,
New solutions : a journal of environmental and occupational health policy : NS., ,1048-2911,1541-3772,,
New York state dental journal.,,0028-7571,,,
New Zealand dental journal.,,0028-8047,,,
New Zealand journal of medical laboratory science.,99157383340001400,1171-0195,,,
New Zealand journal of zoology.,99157763280001400,0301-4223,1175-8821,,
New Zealand medical journal.,99157576210001400,0028-8446,1175-8716,,
New Zealand public health surveillance report.,99158192670001400,1176-2888,,,
New Zealand veterinary journal.,,0048-0169,,,
Nicotine & tobacco research: official journal of the Society for Research on Nicotine and Tobacco.,,,,,
Nicotine and Tobacco research.,99157751650001400,1462-2203,1469-994X,,
NIDA research Monograph Series.,,1046-9516,,,
Nieren- und Hochdruckkrankheiten.,,0300-5224,,,
Nigerian journal of clinical practice.,99161952042401400,1119-3077,,,
Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria.,,1115-2613,,,
Nigerian journal of parasitology.,,1117-4145,,,
Nigerian journal of physiological sciences : official publication of the Physiological Society of Nigeria.,99157212800001400,0794-859X,,,
Nigerian postgraduate medical journal.,,1117-1936,,,
Nigerian quarterly journal of hospital medicine.,,0189-2657,,,
NIH consensus and state-of-the-science statements.,99157796160001452 99148356650001452,1553-0957,1553-0779,,
NIH guide for grants and contracts.,99114910750001400,,1551-8965,,
Nihon Aruk?Áru Yakubutsu Igakkai zasshi = Japanese journal of alcohol studies & drug dependence.,,1341-8963,,,
Nihon eiseigaku zasshi. Japanese journal of hygiene.,99157664790001400,0021-5082,1882-6482,,
Nihon geka gakkai zasshi.,99157259620001400,0301-4894,1880-1129,,
Nihon h?Áigaku zasshi = The Japanese journal of legal medicine.,,0047-1887,,,
Nihon H?Áshasen gijutsu gakkai zasshi.,99157260600001400,0369-4305,1881-4883,,
Nihon Hiny?Ákika gakkai zasshi. The japanese journal of urology.,99157677070001400,0021-5287,1884-7110,,
Nihon ishigaku zasshi. [journal of Japanese history of medicine].,,0549-3323,,,
Nihon Jibiinkoka gakkai kaiho.,99157514800001400,0030-6622,1883-0854,,
Nihon Naika gakkai zasshi. The journal of the Japanese Society of Internal medicine.,99157664720001400,0021-5384,1883-2083,,
Nihon rinsho. Japanese journal of clinical medicine.,,0047-1852,,,
Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics.,99157666900001400,0300-9173,,,
Nihon saikingaku zasshi. Japanese journal of bacteriology.,99157664800001400,0021-4930,1882-4110,,
Nihon seirigaku zasshi. journal of the Physiological Society of Japan.,99161761727001400,0031-9341,,,
Nippon ganka gakkai zasshi.,,0029-0203,,,
Nishinihon journal of dermatology., ,0386-9784,1880-4047,,
Nitric oxide - Biology and chemistry.,99161967523501400,1089-8603,1089-8611,,
Nitric oxide: biology and chemistry/official journal of the Nitric Oxide Society.,99161967523501400,1089-8603,1089-8611,,
Nitte University journal of health science.,,2249-7110,,,
NMR in biomedicine.,99158526660001400,0952-3480,1099-1492,,
No To Hattatsu.,99157665480001400,0029-0831,,,
Nobel medicus.,99157849740001400,1305-2381,,,
Noise & health.,99157395280001400,1463-1741,1998-4030,,
"Nonlinear dynamics, psychology, and life sciences.",,1090-0578,,,
Nonprofit management & leadership.,,,,,
Nordic journal of psychiatry.,99157821380001400,0803-9488,1502-4725,,
Noropsikiyatri Arsivi.,99157391370001400,1300-0667,,,
Norsk epidemiologi.,99157355830001400,0803-2491,,,
North American journal of medical sciences.,99157379720001400,2250-1541,1947-2714,,
North Carolina medical journal.,,0029-2559,,,
Northwest dentistry.,,0029-2915,,,
Notarzt.,99158511130001400,0177-2309,1438-8693,,
Notes and records of the Royal Society of London.,99157649420001400,0035-9149,1743-0178,,
Notfall und rettungsmedizin., ,1434-6222,1436-0578,,
Notfallmedizin up2date.,99158511350001400,1611-6550,1862-6955,,
Nouvelles dermatologiques.,,0752-5370,,,
Nova acta paracelsica : ... Jahrbuch der Schweizerischen paracelsus-Gesellschaft.,,0254-8712,,,
Nowotwory.,,0029-540X,,,
npj primary care respiratory medicine.,,,2055-1010,,
npj Schizophrenia.,99161837518601400,,2334-265X,,
NTM.,99158516170001400,0036-6978,,,
NTP monograph.,,2330-1279,,,
Nuclear medicine and biology.,99158436260001400,0969-8051,1872-9614,,
Nuclear medicine and molecular imaging.,99161919109901400,1869-3474,1869-3482,,
Nuclear medicine communications.,99158506300001400,0143-3636,1473-5628,,
Nuclear medicine review.,99157622410001400,1506-9680,,,
Nuclear receptor.,99157212190001400,,1478-1336,,
Nuclear receptor signaling.,99157346390001400,,1550-7629,,
Nucleic Acid therapeutics.,99157751200001400,2159-3337,2159-3345,,
Nucleic Acids research.,99157374040001400,0305-1048,1362-4962,,
Nucleic acids symposium series.,,,1746-8272,,
"Nucleosides, Nucleotides and Nucleic Acids.",99157821970001400,1525-7770,1532-2335,,
Nucleus.,99157614310001400,1949-1034,1949-1042,,
NuklearMedizin.,,0029-5566,,,
Nuncius.,,0394-7394,,,
Nurse education in practice.,99161966722501400,1471-5953,1873-5223,,
Nurse education today.,99161967560801400,0260-6917,1532-2793,,
Nurse educator.,99158506070001400,0363-3624,1538-9855,,
Nurse leader.,99161967561401400,1541-4612,1541-4620,,
Nurse practitioner.,99157821590001400,0361-1817,1538-8662,,
Nurse practitioner.,99157821590001400,0361-1817,1538-8662,,
Nurse researcher.,99157840680001400,1351-5578,2047-8992,,
Nursing.,99157821350001400,0360-4039,1538-8689,,
Nursing & health sciences.,99157821770001400,1441-0745,1442-2018,,
Nursing ... critical care.,99161941803801400,1558-447X,1558-450X,,
Nursing administration quarterly.,99158193590001400,0363-9568,1550-5103,,
Nursing children and young people.,99157853880001400,2046-2336,2046-2344,,
Nursing clinics of North America., ,0029-6465,1558-1357,,
Nursing critical care.,99161941803801400,1558-447X,,,
Nursing diagnosis.,99157840300001400,1046-7459,2162-6367,,
Nursing economic$.,99157840190001400,0746-1739,,,
Nursing education perspectives.,99157840320001400,1536-5026,,,
Nursing ethics.,99157821870001400,0969-7330,1477-0989,,
Nursing for women's health.,99162014513101400,1751-4851,1751-486X,,
Nursing forum.,99157822070001400,0029-6473,1744-6198,,
Nursing history review : official journal of the American Association for the History of Nursing.,99158191870001400,1062-8061,,,
Nursing in critical care.,99157840460001400,1362-1017,1478-5153,,
Nursing inquiry.,99157821090001400,1320-7881,1440-1800,,
Nursing journal of India.,,0029-6503,,,
Nursing leadership.,99158424150001400,1910-622X,,,
Nursing made incredibly easy!.,99161941797101400,1544-5186,1552-2032,,
Nursing management (Nursing Standard Publications).,99157840260001400,1354-5760,2047-8976,,
Nursing management (S-N Publications).,99157840660001400,0744-6314,1538-8670,,
Nursing New Zealand = Kai tiaki.,99158193400001400,1173-2032,,,
Nursing older people.,99157840490001400,1472-0795,2047-8941,,
Nursing open.,99161766495901400,2054-1058,,,
Nursing outlook.,99161967624801400,0029-6554,1528-3968,,
Nursing philosophy : an international journal for healthcare professionals.,99157821940001400,1466-7681,1466-769X,,
Nursing praxis in New Zealand inc.,99158191300001400,0112-7438,,,
Nursing research.,99158506360001400,0029-6562,1538-9847,,
Nursing science quarterly.,99158519600001400,0894-3184,1552-7409,,
Nursing standard.,99157821120001400,0029-6570,2047-9018,,
Nursing times.,,0954-7762,,,
Nutrici??n hospitalaria.,99157313300001400,0212-1611,1699-5198,,
Nutrients.,99157379830001400,,2072-6643,,
Nutrition.,99158432370001400,0899-9007,1873-1244,,
Nutrition & dietetics : the journal of the Dietitians Association of Australia.,99157821220001400,1446-6368,1747-0080,,
Nutrition and cancer.,99157821130001400,0163-5581,1532-7914,,
Nutrition and diabetes.,99157409100001400,,2044-4052,,
Nutrition and health.,,0260-1060,,,
Nutrition and metabolism.,99157230900001400,,1743-7075,,
Nutrition bulletin / British Nutrition Foundation.,99157822270001400,1471-9827,1467-3010,,
Nutrition clinique et metabolisme.,99161967421901400,0985-0562,1768-3092,,
Nutrition in clinical care.,99157821840001400,1096-6781,1523-5408,,
Nutrition in clinical practice.,99158502630001400,0884-5336,1941-2452,,
Nutrition journal.,99157229850001400,,1475-2891,,
Nutrition research.,99158433730001400,0271-5317,1879-0739,,
Nutrition research reviews.,99157612450001400,0954-4224,1475-2700,,
Nutrition reviews.,99157840610001400,0029-6643,1753-4887,,
Nutrition today.,99158506810001400,0029-666X,1538-9839,,
"Nutrition, metabolism, and cardiovascular diseases: NMCD.",99158435250001400,0939-4753,1590-3729,,
Nutritional anthropology.,99158523880001400,1537-1735,1548-7172,,
Nutritional neuroscience.,99157840500001400,1028-415X,1476-8305,,
Nutritional sciences journal.,,1011-6958,,,
Obesity.,99158525750001400,1930-7381,1930-739X,,
Obesity and metabolism (Italy).,,1825-3865,1826-7572,,
Obesity and weight management.,99135989110001400,1948-6553,1948-6561,,
Obesity Facts.,99157417070001400,1662-4025,1662-4033,,
Obesity management.,99161765448701400,1545-1712,1557-8569,,
Obesity medicine.,99161933661301400,,2451-8476,,
Obesity research & clinical practice.,99158433310001400,1871-403X,1878-0318,,
Obesity research.,99157510900001400,1071-7323,1550-8528,,
Obesity reviews: an official journal of the International Association for the Study of Obesity.,99157822200001400,1467-7881,1467-789X,,
Obesity science & practice.,99161836546901400,2055-2238,,,
Obesity surgery.,99158929610001400,0960-8923,1708-0428,,
Obstetric anesthesia digest.,99158507480001400,0275-665X,1536-5395,,
Obstetric medicine.,99157852400001400,1753-495X,1753-4968,,
Obstetrica si ginecologie.,,1220-5532,,,
Obstetrical & gynecological survey.,99158506730001400,0029-7828,1533-9866,,
Obstetrician & gynaecologist : the journal for continuing professional development from the Royal College of Obstetricians & Gynaecologists.,99157481420001400,1467-2561,1744-4667,,
Obstetrics and gynaecology forum.,99157854130001400,1029-1962,,,
Obstetrics and gynecology.,99158506290001400,0029-7844,1873-233X,,
Obstetrics and gynecology clinics of North America.,99158433460001400,0889-8545,1558-0474,,
"Obstetrics, gynaecology and reproductive medicine.",99158435790001400,1751-7214,1879-3622,,
Occasional paper.,99161958016401400,1352-2450,,,
Occupational and environmental medicine.,99157228780001400,1351-0711,1470-7926,,
Occupational health & safety.,99157565780001400,0362-4064,,,
Occupational medicine.,99157507750001400,0962-7480,1471-8405,,
Occupational therapy in health care.,99158209610001400,0738-0577,1541-3098,,
Occupational therapy international.,99157838570001400,0966-7903,1557-0703,,
Ochsner journal.,99157499430001400,1524-5012,,,
Ocular immunology and inflammation.,99157837740001400,0927-3948,1744-5078,,
Ocular oncology and pathology.,99161947966101400,2296-4681,2296-4657,,
ocular surface.,99158434240001400,1542-0124,1937-5913,,
Odontology., ,1618-1247,1618-1255,,
Odonto-stomatologie tropicale = Tropical dental journal.,,0251-172X,,,
"OECD health working papers/Organisation for Economic Cooperation and Development, Directorate for Education, Employment, Labour and Social Affairs, Employment, Labour and Social Affairs Committee.",99157726020001400,,1815-2015,,
OECD social employment and migration working papers.,99157725990001400,,1815-199X,,
OECD trade and environment working papers.,99157726040001400,,1816-6881,,
Oecologia.,99158307780001400,0029-8549,1432-1939,,
Official journal of veterinary emergency and critical care.,99162010636401400,1534-6935,2377-6285,,
Ohio nurses review.,99158193140001400,0030-0993,,,
Okajimas folia anatomica Japonica.,99157666670001400,0030-154X,1881-1736,,
Oklahoma nurse.,99157469820001400,0030-1787,,,
Oligonucleotides.,99157770140001400,1545-4576,1557-8526,,
Oman medical journal.,99157373200001400,1999-768X,2070-5204,,
Omega.,99158201640001400,0030-2228,1541-3764,,
Omics: journal of integrative biology.,99157769980001400,1536-2310,1557-8100,,
Oncogene.,99157562320001400,0950-9232,1476-5594,,
Oncogenesis.,99157411680001400,,2157-9024,,
OncoImmunology.,99157751440001400,2162-4011,2162-402X,,
Oncologie.,99157838640001400,1292-3818,1765-2839,,
Oncologist.,99157579440001400,1083-7159,1549-490X,,
Oncology (Switzerland).,99157751110001400,0030-2414,1423-0232,,
Oncology (United States).,99161966794201400,0890-9091,,,
Oncology letters.,99157770410001400,1792-1074,1792-1082,,
Oncology nursing forum.,99157839770001400,0190-535X,1538-0688,,
Oncology report.,,1548-5323,,,
Oncology reports.,99157471260001400,1021-335X,1791-2431,,
Oncology research., ,0965-0407,1555-3906,,
Oncology research and treatment.,,2296-5270,,,
Oncology reviews.,99157416960001400,1970-5557,1970-5565,,
Oncology times.,99161941801501400,0276-2234,1548-4688,,
OnCOReview.,,2082-8691,,,
Oncoscience.,99161818336201400,2331-4737,,,
Oncotarget.,99157623170001400,,1949-2553,,
OncoTargets and therapy.,99157362990001400,,1178-6930,,
Onderstepoort journal of veterinary research.,99157384290001400,0030-2465,2219-0635,,
ONdrugDelivery., ,2049-145X,2049-1468,,
One health.,99161967636901400,,2352-7714,,
Onkologe., ,0947-8965,1433-0415,,
Onkologia i radioterapia.,,1896-8961,,,
Onkologia Polska.,,1505-6732,,,
Onkologie (Czech Republic)., ,1802-4475,1803-5345,,
Online journal of issues in nursing.,99157331560001400,,1091-3734,,
Online journal of knowledge synthesis for nursing .,99162015546601400,1072-7639,,,
Online journal of rural research and policy.,99157362740001400,1936-0487,,,
ONS connect.,99157848660001400,1935-1623,,,
Ontario health technology Assessment Series.,99161958016301400,1915-7398,,,
Ontogenez.,,0475-1450,,,
Open Access bioinformatics.,99157383290001400,,1179-2701,,
Open Access emergency medicine.,99157385730001400,,1179-1500,,
Open Access journal of clinical trials.,99157378960001400,,1179-1519,,
Open Access journal of medicinal and Aromatic Plants.,99157390610001400,,0974-7877,,
Open Access rheumatology: Research and reviews.,99157361950001400,,1179-156X,,
Open AIDS journal.,99157216470001400,,1874-6136,,
Open allergy journal.,99157217120001400,,1874-8384,,
Open anesthesiology journal.,99157217110001400,,1874-3218,,
Open biochemistry journal.,99157218670001400,,1874-091X,,
Open bioinformatics journal.,99157217000001400,,1875-0362,,
Open biology.,99157405880001400,,2046-2441,,
Open biomarkers journal.,99157217020001400,,1875-3183,,
Open biomedical engineering journal.,99157218270001400,,1874-1207,,
Open biotechnology journal.,99157218260001400,,1874-0707,,
Open Bone journal.,99157216860001400,,1876-5254,,
Open cancer journal.,99157216970001400,,1874-0790,,
Open cardiovascular medicine journal.,99157218380001400,,1874-1924,,
Open dermatology journal.,99157218690001400,,1874-3722,,
Open ethics journal.,99157217300001400,,1874-7612,,
Open forum infectious diseases.,99161806413501400,,2328-8957,,
Open heart.,99160789970001400,2053-3624,,,
Open hypertension journal.,99157216700001400,,1876-5262,,
Open infectious diseases journal.,99157217850001400,,1874-2793,,
Open journal of cardiology.,,,2075-9010,,
Open journal of hematology.,99162050321101400,,2075-907X,,
Open journal of pharmacology.,,,2075-910X,,
Open medical imaging journal.,99157216500001400,,1874-3471,,
Open medicinal chemistry journal.,99157216420001400,,1874-1045,,
Open medicine (Poland).,,,2391-5463,,
"Open medicine : a peer-reviewed, independent, open-access journal.",99157355350001400,,1911-2092,,
Open microbiology journal.,99157217650001400,,1874-2858,,
Open neurology journal.,99157218070001400,,1874-205X,,
Open neurosurgery journal.,99157216610001400,,1876-5297,,
Open Nutraceuticals journal.,99157216600001400,,1876-3960,,
Open obesity journal.,99157218580001400,,1876-8237,,
Open ophthalmology journal.,99157218730001400,,1874-3641,,
Open pain journal.,99157216570001400,,1876-3863,,
Open prostate cancer journal.,99157218570001400,,1876-8229,,
Open public health journal.,99157217880001400,,1874-9445,,
Open respiratory medicine journal.,99157216390001400,,1874-3064,,
Open rheumatology journal.,99157218680001400,,1874-3129,,
Open Stem cell journal.,99157218620001400,,1876-8938,,
Open transplantation journal.,99157218410001400,,1874-4184,,
Open urology and nephrology journal.,99157218470001400,,1874-303X,,
Operative dentistry.,99158423090001400,0361-7734,1559-2863,,
Operative dentistry. Supplement.,,0163-3473,,,
Operative neurosurgery.,,2332-4260,,,
Operative orthopadie und traumatologie., ,0934-6694,1439-0981,,
Operative techniques in orthopaedics.,99158434700001400,1048-6666,1558-3848,,
Operative techniques in otolaryngologyhead and neck surgery.,99158433950001400,1043-1810,1557-9395,,
Operative techniques in sports medicine.,99158433040001400,1060-1872,1557-9794,,
Operative techniques in thoracic and cardiovascular surgery.,99157421240001400,1522-2942,1532-8627,,
Ophthalmic & physiological optics : the journal of the British College of Ophthalmic Opticians (Optometrists).,99157839420001400,0275-5408,1475-1313,,
Ophthalmic epidemiology.,99157839960001400,0928-6586,1744-5086,,
Ophthalmic genetics.,99157837530001400,1381-6810,1744-5094,,
Ophthalmic plastic and reconstructive surgery.,99158507240001400,0740-9303,1537-2677,,
Ophthalmic research.,99157751080001400,0030-3747,1423-0259,,
Ophthalmic surgery lasers and imaging retina., ,2325-8160,2325-8179,,
Ophthalmologica.,99157751090001400,0030-3755,1423-0267,,
Ophthalmologica Extra.,,,2296-1445,,
Ophthalmology.,99158432300001400,0161-6420,1549-4713,,
Ophthalmology and therapy.,99161784261501400,2193-8245,2193-6528,,
OP-journal.,99158511020001400,0178-1715,1439-2496,,
Optics express.,99157332890001400,,1094-4087,,
Optics letters.,99158507770001400,0146-9592,1539-4794,,
Optometry and vision science : official publication of the American Academy of Optometry.,99158506030001400,1040-5488,1538-9235,,
OR manager.,99158192260001400,8756-8047,,,
OR nurse.,99161941800501400,1933-3145,1933-3161,,
Oral and maxillofacial surgery., ,1865-1550,1865-1569,,
Oral and Maxillofacial surgery cases.,99161967465201400,,2214-5419,,
Oral and maxillofacial surgery clinics of North America.,99158435190001400,1042-3699,1558-1365,,
Oral diseases.,99158526390001400,1354-523X,1601-0825,,
Oral health & preventive dentistry., ,1602-1622,1757-9996,,
Oral microbiology and immunology.,99158525200001400,0902-0055,1399-302X,,
Oral oncology.,99158433680001400,1368-8375,1879-0593,,
Oral radiology., ,0911-6028,1613-9674,,
"Oral surgery, oral medicine, oral pathology and oral radiology.",99158431970001400,2212-4403,2212-4411,,
"Oral surgery, oral medicine, oral pathology, oral radiology and endodontics. (continued by Oral surgery, oral medicine, oral pathology and oral radiology).",99158435140001400,1528-395X,1528-395X,,
Oral therapeutics and pharmacology.,99157676970001400,0288-1012,,,
Orbit.,99157838120001400,0167-6830,1744-5108,,
Oregon nurse.,99158192910001400,0030-4751,,,
Organic & biomolecular chemistry.,99158503170001400,1477-0520,1477-0539,,
Organic and medicinal chemistry letters.,99157229700001400,,2191-2858,,
Organic letters.,99158484980001400,1523-7060,1523-7052,,
Organic process research & development.,,,,,
Organization.,99158520130001400,1350-5084,1461-7323,,
Organizational research methods.,99158520770001400,1094-4281,1552-7425,,
Organogenesis.,99157616440001400,1547-6278,1555-8592,,
Organon.,,0078-6500,,,
Oriental pharmacy and experimental medicine., ,1598-2386,2211-1069,,
Origins of life and evolution of the biosphere : the journal of the International Society for the Study of the Origin of Life.,99158906220001400,0169-6149,1573-0875,,
ORL.,99157751860001400,0301-1569,1423-0275,,
ORL-head and neck nursing : official journal of the Society of Otorhinolaryngology and Head-Neck Nurses.,,1064-3842,,,
ORNAC journal.,99158209700001400,1927-6141,,,
Orphan drugs: Research and reviews.,99157874150001400,,2230-6161,,
Orphanet journal of Rare diseases.,99157230530001400,,1750-1172,,
Orthodontics & craniofacial research.,99158526100001400,1601-6335,1601-6343,,
Orthopa?Â¿‹die und Unfallchirurgie up2date.,,,1861-1982,,
Orthopaedic journal of sports medicine.,99160049530001400,,2325-9671,,
Orthopaedic nursing/National Association of Orthopaedic Nurses.,99158193000001400, 0744-6020,1542-538X,,
Orthopaedic surgery.,99157876260001400,1757-7853,,,
